,HBB,ALAS2,CD93,HTN3,STATH,BPIFA1,MUC4,MYOZ1,CYP2B7P1,MMP10,MMP7,MMP11,SEMG1,KLK3,PRM1,RPS4Y1,XIST,ACTB,18S-rRNA,replicate_value
Blood,5715,7572,,,,,,,,,,,,,,,1753,2070,5980,1
Blood,6066,4547,,,,,,,,,,,,,,,323,1301,3918,2
Blood,5967,5556,,,,,,,,,,,,,,,,1347,3740,3
Blood,6307,5555,,,,,,,,,,,,,,,397,1118,4551,4
Blood,5358,8875,811,,,,,,,,,,,,,,2511,4169,6723,1
Blood,5882,8963,443,,,,,,,,,,,,,,1407,5029,7526,2
Blood,5929,9046,502,,,,,,,,,,,,,,3849,4351,7519,3
Blood,6727,8680,381,,,,,,,,,,,,,,2599,3164,6638,4
Blood,5719,7969,2039,,,,,,,,,,,,,,6604,6615,6710,1
Blood,7749,9025,,,,,,,,,,,,,,,3808,6485,7518,2
Blood,6210,8529,1146,,,,,,,,,,,,,,6902,7272,7070,3
Blood,6199,8609,459,,,,,,,,,,,,,,6822,7110,6937,4
Blood,5441,802,,,,,,,,,,,,,,1355,,713,1572,1
Blood,6335,950,,,,,,,,,,,,,,1019,,1015,1826,2
Blood,5294,1565,601,,,,,,,,,179,,,,2802,,1182,2394,3
Blood,6498,993,,,,,,,,,,,,,,659,,790,1395,4
Blood,5374,2463,784,,,,,,,,,,,,,6190,,2139,2206,1
Blood,7000,4182,329,,,,,,,,,,,,,5284,,4572,6486,2
Blood,6676,5079,264,,,,,,,,,,,,,2398,,4589,7424,3
Blood,7355,2017,214,,,,,,,,,,,,,5690,,2440,2660,4
Blood,4574,8638,3383,,,,,,,,,,,,,5977,,7461,7366,1
Blood,5869,7458,1953,,,,,,,,,,,,,6532,,7409,7591,2
Blood,7000,9063,722,,,,,,,,,,,,,5876,,7496,7164,3
Blood,5402,4050,1991,,,,,,,,,,,,,6892,,4910,5605,4
Blood,6845,1702,,,,,,,,,,,,,,,944,972,2935,1
Blood,6732,1447,594,,,,,,,,,,,,,,,834,1969,2
Blood,6382,2105,,,,,,,,,,,,,,,709,956,2627,3
Blood,6062,2386,282,,,,,,,,,,,,,,,842,2627,4
Blood,4904,7883,966,,,,,,,,,,,,,,3458,3856,6864,1
Blood,7224,7285,,,,,,,,,,,,,,,2544,3407,7439,2
Blood,7248,4263,,,,,,,,,,,,,,,1691,2737,6070,3
Blood,4790,5848,,,,,,,,,,,,,,,2268,2863,7284,4
Blood,5598,9070,1045,,,,,,,,,,,,,,4704,7048,7073,1
Blood,5251,8980,1098,,,,,,,,,,,,,,6896,7191,7047,2
